REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
03 - AZUA,0304 - BANI,07527 - CENTRO DE FORMACION TECNICO PROFESIONAL RENE DESCARTES,07527,2
11 - PUERTO PLATA,1101 - SOSUA,15650 - ALTA VISTA,15650,19
05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,14275 - POLITECNICO MILAGROS PROVIDENCIA NUÑEZ PEGUERO,14275,22
15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,05146 - POLITECNICO SAN BENITO,05146,27
08 - SANTIAGO,0804 - SANTIAGO NOROESTE,08502 - INTEGRAL H Y A - HOGAR EL MUNDO DE LOS NIÑOS,08502,29
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05453 - LAS AMERICAS,05453,30
12 - HIGUEY,1202 - SAN RAFAEL DEL YUMA,06931 - SAN RAFAEL,06931,31
09 - MAO,0901 - MAO,17113 - PADRE LUIS VARIARA,17113,32
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09230 - SANTA MARIA DEL BATEY,09230,34
17 - MONTE PLATA,1702 - MONTE PLATA,05703 - POLITECNICO DR. JOSE FRANCISCO PENA GOMEZ,05703,34
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08247 - ESTIMULACION Y DESARROLLO PSICOPEDAGOGICO MACORIX,08247,41
08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,08576 - INSTITUTO PEDAGOGICO  DE SANTIAGO,08576,41
10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,05530 - SIGLO XXI,05530,42
11 - PUERTO PLATA,1102 - PUERTO PLATA,14472 - POLITECNICO TORIBIO,14472,43
10 - SANTO DOMINGO,1001 - VILLA MELLA,05850 - LAS ABEJITAS,05850,44
10 - SANTO DOMINGO,1006 - MENDOZA,"17200 - CENTRO EDUCATIVO DE ESTUDIOS GENERALES Y SERVICIOS, CEGES LAS AMERICAS",17200,44
17 - MONTE PLATA,1705 - PERALVILLO,09166 - POLITECNICO RAFAEL CASTILLO REINOSO,09166,45
01 - BARAHONA,0103 - BARAHONA,14192 - POLITECNICO APOLONIA LEDESMA,14192,46
14 - NAGUA,1401 - NAGUA,07337 - MIGUEL SANTIAGO YANGUELA GOMEZ,07337,47
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,08118 - ACADEMIA CANAAN,08118,49
16 - COTUI,1605 - PIEDRA BLANCA,09083 - POLITECNICO PROF. FRANCISCO RAMIREZ CAPELLAN,09083,49
17 - MONTE PLATA,1704 - SABANA GRANDE DE BOYA,09143 - POLITECNICO GREGORIO AYBAR CONTRERAS,09143,49
03 - AZUA,0302 - PADRE DE LAS CASAS,06350 - ANA MARIA ALCANTARA,06350,51
05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,07052 - POLITECNICO PROF. RAUL HORACIO CAIRO FERRAND,07052,51
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05243 - EVANGELICO CENTRAL,05243,52
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,06210 - UTESIANO DE ESTUDIOS INTEGRADOS-CUEI-UTESA,06210,53
09 - MAO,0902 - ESPERANZA,15486 - POLITECNICO PROF. JOSE ARTURO PEÑA TEJADA,15486,54
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05391 - ADVENTISTA OZAMA,05391,55
