REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,FAMILIA PROFESIONAL,DENOMINACIÓN,MATRICULA
01 - BARAHONA,0101 - PEDERNALES,07430 - POLITECNICO LUIS MEDRANO GONZALEZ,07430,MARÍTIMO PESQUERA,Acuicultura,43
01 - BARAHONA,0101 - PEDERNALES,07430 - POLITECNICO LUIS MEDRANO GONZALEZ,07430,AGRARIA,Agropecuaria,99
01 - BARAHONA,0101 - PEDERNALES,07430 - POLITECNICO LUIS MEDRANO GONZALEZ,07430,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,109
01 - BARAHONA,0102 - ENRIQUILLO,06483 - POLITECNICO GUAROCUYA,06483,AGRARIA,Agropecuaria,41
01 - BARAHONA,0102 - ENRIQUILLO,06483 - POLITECNICO GUAROCUYA,06483,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,79
01 - BARAHONA,0102 - ENRIQUILLO,06483 - POLITECNICO GUAROCUYA,06483,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,92
01 - BARAHONA,0102 - ENRIQUILLO,06483 - POLITECNICO GUAROCUYA,06483,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,87
01 - BARAHONA,0102 - ENRIQUILLO,06488 - POLITECNICO PARAISO,06488,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Animación Físico-Deportiva y Socorrismo,75
01 - BARAHONA,0102 - ENRIQUILLO,06488 - POLITECNICO PARAISO,06488,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,71
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,99
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,ELECTRICIDAD Y ELECTRÓNICA,Energías Renovables,20
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,85
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,95
01 - BARAHONA,0103 - BARAHONA,06459 - POLITECNICO SALESIANO CRISTO REY,06459,ELECTRICIDAD Y ELECTRÓNICA,Sistemas de Telecomunicaciones.,38
01 - BARAHONA,0103 - BARAHONA,06464 - INSTITUTO TECNOLOGICO FEDERICO HENRIQUEZ Y CARVAJAL,06464,SALUD,Cuidados de Enfermería y Promoción de la Salud,143
